ID,word
3,ability
4,able
9,abroad
23,accept
28,accident
36,according to
50,achieve
58,act
62,active
68,actually
98,advantage
99,adventure
101,advertise
102,advertisement
103,advertising
109,affect
119,against
132,ah
140,airline
152,alive
154,all right
161,allow
164,almost
165,alone
166,along
168,already
171,alternative
172,although
186,among
187,amount
195,ancient
203,ankle
219,any more
220,anybody
223,anyway
224,anywhere
229,app
235,appear
236,appearance
243,apply
256,architect
258,architecture
263,argue
264,argument
269,army
271,arrange
272,arrangement
290,asleep
307,assistant
318,athlete
323,attack
326,attend
328,attention
333,attractive
336,audience
342,author
351,available
352,average
353,avoid
355,award
359,awful
364,background
371,badly
386,bar
393,baseball
394,based
400,basketball
412,bean
413,bear
415,beat
423,beef
430,behave
431,behaviour
437,belong
440,belt
447,benefit
463,billion
464,bin
468,biology
470,birth
472,biscuit
474,bit
481,blank
492,blood
493,blow
495,board
499,boil
504,bone
515,borrow
516,boss
520,bottom
525,bowl
529,brain
546,bridge
549,bright
550,brilliant
557,broken
561,brush
577,burn
583,businessman
587,button
601,camp
603,camping
625,care
627,careful
628,carefully
631,carpet
635,cartoon
637,case
638,cash
641,castle
646,catch
650,cause
657,celebrate
659,celebrity
667,certain
668,certainly
679,chance
684,character
688,charity
694,chat
702,chef
704,chemistry
710,chip
712,choice
718,church
719,cigarette
721,circle
740,classical
746,clear
747,clearly
749,clever
753,climate
761,closed
766,clothing
767,cloud
771,coach
774,coast
778,code
788,colleague
789,collect
800,column
806,comedy
808,comfortable
813,comment
826,communicate
829,community
841,compete
844,competition
848,complain
852,completely
886,condition
889,conference
908,connect
909,connected
923,consider
949,contain
959,context
960,continent
962,continue
972,control
989,cooker
1000,copy
1003,corner
1008,correctly
1028,count
1036,couple
1042,cover
1050,crazy
1054,creative
1060,credit
1063,crime
1064,criminal
1074,cross
1075,crowd
1076,crowded
1083,cry
1091,cupboard
1095,curly
1109,cycle
1112,daily
1120,danger
1125,data
1131,dead
1134,deal
1137,death
1146,decision
1160,deep
1173,definitely
1176,degree
1199,dentist
1202,department
1204,depend
1222,desert
1226,designer
1235,destroy
1243,detective
1250,develop
1252,device
1261,diary
1271,differently
1275,digital
1284,direct
1285,direction
1287,director
1294,disagree
1296,disappear
1301,disaster
1312,discover
1313,discovery
1317,discussion
1318,disease
1334,distance
1356,divorced
1360,document
1376,double
1379,download
1387,drama
1391,drawing
1392,dream
1399,driving
1400,drop
1403,drug
1406,dry
1424,earn
1426,earth
1429,easily
1447,education
1450,effect
1463,either
1470,electric
1471,electrical
1472,electricity
1473,electronic
1506,employ
1507,employee
1508,employer
1511,empty
1521,ending
1527,energy
1534,engine
1535,engineer
1540,enormous
1548,enter
1564,environment
1573,equipment
1577,error
1581,especially
1582,essay
1605,everyday
1608,everywhere
1609,evidence
1616,exact
1617,exactly
1625,excellent
1626,except
1648,exist
1654,expect
1661,experience
1663,experiment
1665,expert
1669,explanation
1682,express
1683,expression
1693,extreme
1694,extremely
1704,factor
1705,factory
1708,fail
1711,fair
1722,fan
1730,farming
1732,fashion
1744,fear
1747,feature
1751,feed
1756,female
1763,fiction
1764,field
1769,fight
1771,figure
1778,finally
1784,finger
1793,firstly
1795,fishing
1796,fit
1799,fix
1822,flu
1825,flying
1826,focus
1831,following
1842,foreign
1844,forest
1849,fork
1851,formal
1861,fortunately
1865,forward
1889,fresh
1891,fridge
1898,frog
1924,furniture
1925,further
1929,gallery
1935,gap
1938,gas
1939,gate
1947,general
1966,gift
1982,goal
1983,god
1984,gold
1986,golf
1994,government
2010,grass
2018,greet
2027,ground
2035,guest
2037,guide
2042,gun
2044,guy
2046,habit
2052,hall
2061,happily
2083,headache
2092,heart
2093,heat
2097,heavy
2099,height
2106,helpful
2112,hero
2113,hers
2114,herself
2119,hide
2127,hill
2129,himself
2138,hit
2140,hockey
2141,hold
2142,hole
2175,huge
2176,human
2189,hurt
2199,ideal
2202,identify
2210,ill
